Method,MatrixSize,Threads,AvgTime_ms,AvgTime_s
Without Priority,300,26,2.0,0.002
With Priority,300,26,3.0,0.003
Barrier,300,26,11.333333333333334,0.011333333333333334
Without Priority,2400,26,160.33333333333334,0.16033333333333336
With Priority,2400,26,331.0,0.331
Barrier,2400,26,1696.6666666666667,1.6966666666666668
Without Priority,4800,26,2184.3333333333335,2.1843333333333335
With Priority,4800,26,2091.6666666666665,2.0916666666666663
Barrier,4800,26,10941.0,10.941
Without Priority,7200,26,6789.666666666667,6.789666666666667
With Priority,7200,26,13996.0,13.996
Barrier,7200,26,41299.0,41.299
Without Priority,10800,26,30802.666666666668,30.802666666666667
With Priority,10800,26,53817.0,53.817
Barrier,10800,26,123106.0,123.106
Without Priority,300,52,20.333333333333332,0.02033333333333333
With Priority,300,52,4.333333333333333,0.004333333333333333
Barrier,300,52,16.333333333333332,0.01633333333333333
Without Priority,2400,52,289.6666666666667,0.2896666666666667
With Priority,2400,52,191.33333333333334,0.19133333333333336
Barrier,2400,52,1515.0,1.515
Without Priority,4800,52,1479.3333333333333,1.4793333333333332
With Priority,4800,52,1248.6666666666667,1.2486666666666668
Barrier,4800,52,8167.0,8.167
Without Priority,7200,52,7332.333333333333,7.332333333333333
With Priority,7200,52,5785.0,5.785
Barrier,7200,52,32214.666666666668,32.214666666666666
Without Priority,10800,52,52708.333333333336,52.708333333333336
With Priority,10800,52,56123.0,56.123
Barrier,10800,52,107540.0,107.54
